Breed,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,Cluster
German Longhaired Pointer,,55.88,71.12,24.94758035,36.2873896,12,14,0.2,,0.8,1,0.8,23
German Pinscher,134,43.18,50.8,11.33980925,20.41165665,12,14,0.2,0.4,1,0.6,0.6,23
Pudelpointer,,55.88,66.04,20.41165665,31.7514659,14,14,0.2,0.6,0.6,,,23
Borzoi,103,66.04,71.12,27.2155422,47.62719885,9,14,0.4,0.6,0.8,0.4,0.6,24
Greyhound,145,68.58,76.2,27.2155422,31.7514659,10,13,0.2,0.4,0.8,0.4,0.8,24
Italian Greyhound,73,33.02,38.1,3.17514659,6.35029318,14,15,0.2,0.6,0.6,0.4,0.2,24
Pharaoh Hound,172,53.34,63.5,20.41165665,24.94758035,12,14,0.4,0.6,0.8,0.4,0.4,24
Whippet,61,45.72,55.88,11.33980925,18.1436948,12,15,0.2,0.4,0.6,0.4,0.4,24
Dogue de Bordeaux,67,58.42,66.04,44.90564463,49.8951607,5,8,0.2,0.8,0.6,0.6,0.6,25
Mastiff,29,69.85,76.2,54.4310844,104.3262451,6,10,0.2,0.4,0.6,0.6,0.6,25
Neapolitan Mastiff,102,60.96,78.74,49.8951607,68.0388555,7,9,0.4,0.6,0.6,0.2,0.2,25
Pyrenean Mastiff,,63.5,78.74,54.4310844,108.8621688,10,13,0.6,0.6,0.4,,,25
Spanish Mastiff,,71.12,88.9,63.5029318,90.718474,10,12,,0.6,0.4,,,25
Irish Red and White Setter,146,57.15,66.04,15.87573295,27.2155422,11,15,0.4,,1,0.8,0.8,26
Irish Setter,77,63.5,68.58,27.2155422,31.7514659,12,15,0.6,0.6,1,0.6,1,26
Irish Terrier,116,45.72,45.72,11.33980925,12.24699399,13,15,0.2,,0.6,0.6,0.6,26
Soft Coated Wheaten Terrier,53,43.18,48.26,13.6077711,18.1436948,12,14,0.6,0.2,0.8,0.4,0.6,26
Toy Fox Terrier,111,21.59,29.21,1.587573295,3.17514659,13,15,0.4,0.4,0.8,1,0.8,26
Finnish Lapphund,161,40.64,53.34,14.96854821,24.04039561,12,15,0.4,0.6,0.6,1,0.4,27
Komondor,173,64.77,69.85,36.2873896,45.359237,10,12,1,0.6,0.6,0.4,0.4,27
Puli,160,40.64,43.18,11.33980925,15.87573295,10,15,1,0.2,0.6,0.4,0.4,27
Pumi,151,38.1,46.99,9.97903214,13.15417873,12,13,0.2,0.2,0.8,0.8,0.6,27
Beagle,6,33.02,38.1,5.89670081,13.6077711,10,15,0.6,0.6,0.8,0.6,0.8,28
Coton de Tulear,81,22.86,27.94,3.62873896,6.80388555,15,19,0.8,0.4,0.6,0.8,1,28
Rat Terrier,86,25.4,45.72,4.5359237,11.33980925,12,18,0.4,0.6,0.6,0.8,0.8,28
Wetterhoun,,12.7,58.42,22.6796185,34.01942775,13,13,0.2,0.4,0.6,0.2,0.4,28
Beauceron,124,60.96,69.85,31.7514659,49.8951607,10,12,0.6,1,1,0.8,0.4,29
Boerboel,121,55.88,68.58,68.0388555,90.718474,9,11,0.2,0.4,0.4,0.6,0.4,29
Bullmastiff,51,60.96,68.58,45.359237,58.9670081,7,9,0.2,0.6,0.8,0.6,0.6,29
Cane Corso," Majestic""",32,59.69,69.85,0,0,9,Working Group,Occasional Bath/Brush,Occasional,Energetic,Agreeable,29
Tibetan Mastiff,131,60.96,66.04,31.7514659,68.0388555,10,12,0.6,0.6,0.6,0.4,0.6,29
Finnish Spitz," Lively""",184,39.37,50.8,9.0718474,14.96854821,13,Non-Sporting Group,Weekly Brushing,Seasonal,Needs Lots of Activity,Agreeable,30
German Spitz,,30.48,38.1,10.88621688,11.79340162,13,15,0.6,0.6,0.6,1,0.4,30
Keeshond,95,43.18,45.72,15.87573295,20.41165665,12,15,0.6,0.6,0.6,0.8,0.8,30
Schipperke,105,25.4,33.02,4.5359237,7.25747792,12,14,0.4,0.6,0.8,0.4,0.6,30
Vizsla,31,53.34,60.96,19.95806428,27.2155422,12,14,0.4,0.6,0.8,1,0.8,30
Hanoverian Scenthound,,48.26,53.34,35.83379723,44.90564463,10,14,0.2,0.2,0.6,0.4,0.4,31
Perro de Presa Canario,,55.88,66.04,38.10175908,49.8951607,9,11,0.2,0.6,0.4,,,31
Rafeiro do Alentejo,,63.5,73.66,34.92661249,59.87419284,12,14,0.4,0.6,0.4,,,31
Tornjak,,58.42,71.12,28.12272694,49.8951607,12,14,,,,0.8,0.6,31
Belgian Tervuren,106,55.88,66.04,20.41165665,34.01942775,12,14,0.6,0.6,0.8,0.8,0.4,32
Danish-Swedish Farmdog,,31.75,36.83,6.80388555,9.0718474,11,13,0.2,0.4,0.8,,,32
