Breed,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,Cluster
Chinese Crested,79,27.94,33.02,3.62873896,5.44310844,13,18,0.2,0.2,0.6,0.6,0.8,44
Peruvian Inca Orchid,,24.765,65.405,3.855535145,24.94758035,12,14,0.2,0.8,0.8,0.6,0.4,44
Pyrenean Shepherd,181,38.1,53.34,6.80388555,13.6077711,0,0,0.4,0.6,0.8,0.6,0.4,44
Xoloitzcuintli,140,25.4,58.42,4.5359237,24.94758035,13,18,0.2,0.2,0.8,0.6,0.6,44
Braque du Bourbonnais,,48.26,57.15,15.87573295,24.04039561,10,12,0.2,,0.6,1,0.6,45
French Spaniel,,54.61,60.96,22.6796185,27.2155422,10,12,,,,,,45
Portuguese Pointer,,52.07,55.88,15.87573295,26.76194983,14,14,0.2,0.4,0.8,1,0.8,45
Portuguese Sheepdog,,41.91,54.61,17.00971388,26.76194983,12,13,0.4,0.4,0.8,,,45
Portuguese Water Dog,50,43.18,58.42,15.87573295,27.2155422,11,13,0.8,0.6,0.8,0.8,0.6,45
Slovakian Wirehaired Pointer,,57.15,67.31,22.6796185,29.48350405,12,15,0.2,0.4,0.8,0.4,1,45
Stabyhoun,,48.26,53.34,18.1436948,27.2155422,13,15,0.2,0.6,0.8,0.8,0.6,45
Gordon Setter,115,58.42,68.58,20.41165665,36.2873896,12,13,0.4,0.6,1,0.4,0.4,46
Irish Wolfhound,76,76.2,81.28,47.62719885,54.4310844,6,8,0.4,0.6,0.6,0.4,0.6,46
Manchester Terrier (Standard),133,38.1,40.64,5.44310844,9.97903214,15,17,0.4,0.4,0.6,0.8,0.6,46
Manchester Terrier (Toy),133,25.4,30.48,5.44310844,5.44310844,15,17,0.4,0.4,0.6,0.8,0.6,46
Scottish Deerhound,158,71.12,81.28,34.01942775,49.8951607,8,11,0.2,0.6,0.6,0.4,0.6,46
Sloughi,192,60.96,73.66,15.87573295,22.6796185,10,15,0.4,0.2,0.6,0.4,0.4,46
Basenji,87,40.64,43.18,9.97903214,10.88621688,13,14,0.2,0.4,0.8,0.4,0.4,47
Bedlington Terrier,141,38.1,44.45,7.71107029,10.43262451,11,16,0.6,,0.8,0.6,0.6,47
Portuguese Podengo,,40.64,71.12,15.87573295,29.93709642,10,12,0.4,0.8,0.8,0.6,0.4,47
Portuguese Podengo Pequeno,154,20.32,30.48,4.08233133,5.89670081,12,15,0.4,0.6,0.8,0.6,0.8,47
Shih Tzu,20,22.86,26.67,4.08233133,7.25747792,10,18,0.8,0.2,0.6,0.6,0.8,48
Tibetan Spaniel,119,25.4,25.4,4.08233133,6.80388555,12,15,0.4,0.6,0.4,0.6,0.6,48
Berger Picard,144,54.61,64.77,22.6796185,31.7514659,12,13,0.2,0.6,1,0.8,0.6,49
Bouvier des Flandres,84,59.69,69.85,31.7514659,49.8951607,10,12,0.8,0.6,0.8,0.6,0.6,49
Chesapeake Bay Retriever,45,53.34,66.04,24.94758035,36.2873896,10,13,0.6,0.8,0.8,0.6,0.4,49
Chinook,190,55.88,66.04,22.6796185,40.8233133,12,15,0.4,0.6,0.8,1,0.8,49
Australian Cattle Dog,55,43.18,50.8,15.87573295,22.6796185,12,16,0.2,0.8,1,0.2,0.4,50
Australian Kelpie,,43.18,50.8,,,10,13,0.4,0.8,0.8,1,0.6,50
Australian Stumpy Tail Cattle Dog,,43.18,50.8,14.51495584,20.41165665,12,15,0.4,0.4,0.8,0.8,0.6,50
Smooth Fox Terrier,123,38.1,38.1,6.80388555,8.16466266,12,15,0.4,0.4,0.8,0.6,0.8,51
Wire Fox Terrier,101,38.1,38.1,6.80388555,8.16466266,12,15,0.4,0.2,0.6,0.6,0.6,51
Chow Chow,75,43.18,50.8,20.41165665,31.7514659,8,12,0.6,0.6,0.6,0.2,0.4,52
Dalmatian,56,48.26,60.96,20.41165665,31.7514659,11,13,0.4,1,0.8,0.6,0.6,52
Samoyed,59,48.26,59.69,15.87573295,29.48350405,12,14,0.6,0.6,0.8,0.4,0.8,52
Brittany,26,44.45,52.07,13.6077711,18.1436948,12,14,0.6,0.6,1,1,0.8,53
German Shorthaired Pointer," Willing to Please""",9,53.34,63.5,20.41165665,31.7514659,10,Sporting Group,Weekly Brushing,Regularly,Needs Lots of Activity,Eager to Please,53
Leonberger,93,64.77,80.01,40.8233133,77.1107029,9,9,0.8,0.8,0.6,1,0.8,53
Pointer,114,58.42,71.12,20.41165665,34.01942775,12,17,0.4,0.4,0.8,0.6,0.6,53
Weimaraner,36,58.42,68.58,24.94758035,40.8233133,10,13,0.4,0.6,1,1,0.8,53
Lagotto Romagnolo,99,40.64,48.26,10.88621688,15.87573295,15,17,0.2,0.2,0.6,1,0.6,54
Lhasa Apso,71,25.4,27.94,5.44310844,8.16466266,12,15,0.6,0.2,0.6,0.4,0.4,54
Spanish Water Dog,153,40.005,50.165,14.06136347,22.22602613,12,14,1,0.2,0.8,1,0.4,54
Golden Retriever,3,54.61,60.96,24.94758035,34.01942775,10,12,0.4,0.6,1,1,0.8,55
Labrador Retriever,1,54.61,62.23,24.94758035,36.2873896,10,12,0.4,0.8,1,1,1,55
Nova Scotia Duck Tolling Retriever,83,43.18,53.34,15.87573295,22.6796185,12,14,0.4,0.6,1,0.8,0.8,55
Siberian Husky,14,50.8,59.69,15.87573295,27.2155422,12,14,0.4,0.6,0.8,0.4,0.8,55
Akita,47,60.96,71.12,31.7514659,58.9670081,10,13,0.8,0.6,0.8,1,0.6,56
Alaskan Malamute,58,58.42,63.5,34.01942775,38.55535145,10,14,0.6,0.6,0.8,0.4,0.8,56
Catahoula Leopard Dog,,55.88,60.96,22.6796185,43.09127515,10,14,,,1,0.4,0.4,56
Barbet,of,48.26,62.23,15.87573295,29.48350405,12,14,0.4,0.2,0.6,0.6,0.8,57
Icelandic Sheepdog,155,41.91,45.72,11.33980925,13.6077711,12,14,0.4,0.6,0.8,1,0.8,57
Norwegian Buhund,165,40.64,46.99,11.79340162,18.1436948,12,15,0.4,0.6,0.8,0.8,0.8,57
Bearded Collie,127,50.8,55.88,20.41165665,24.94758035,12,14,0.8,0.6,0.6,0.4,1,58
Old English Sheepdog,72,53.34,55.88,27.2155422,45.359237,10,12,0.6,0.6,0.6,0.4,0.6,58
Polish Lowland Sheepdog,170,43.18,50.8,13.6077711,22.6796185,12,14,0.8,0.6,0.8,0.2,0.2,58
Bolognese,,25.4,30.48,2.494758035,4.08233133,12,14,0.6,0.2,0.4,0.6,0.8,59
Nederlandse Kooikerhondje,150,35.56,43.18,9.0718474,13.6077711,12,15,0.4,0.6,0.6,1,0.4,59
Russian Tsvetnaya Bolonka,,22.86,25.4,2.041165665,4.98951607,12,16,0.6,0.2,0.6,0.6,0.8,59
